Date	weight
12/09/2019	88,8
13/09/2019	89
16/09/2019	89
23/09/2019	90,2
24/09/2019	90
25/09/2019	89,4
26/09/2019	89,8
27/09/2019	90,2
28/09/2019	89,4
29/09/2019	88,6
30/09/2019	89,8
01/10/2019	89,4
02/10/2019	90
03/10/2019	89,6
04/10/2019	89
05/10/2019	90,2
06/10/2019	90,4
07/10/2019	89,8
08/10/2019	89,4
09/10/2019	89,8
11/10/2019	89,8
12/10/2019	89,8
14/10/2019	90,2
15/10/2019	89
16/10/2019	88,4
17/10/2019	88
18/10/2019	88
21/10/2019	90,6
23/10/2019	88,6
24/10/2019	89,8
28/10/2019	89,8
29/10/2019	89,8
30/10/2019	89,4
31/10/2019	89,6
01/11/2019	89,6
04/11/2019	90,6
05/11/2019	89
06/11/2019	89,6
07/11/2019	90
11/11/2019	90,8
12/11/2019	91
13/11/2019	91,4
14/11/2019	90,6
15/11/2019	90,2
17/11/2019	91,4
22/11/2019	90,4
24/11/2019	91,4
25/11/2019	91,8
26/11/2019	91,4
27/11/2019	90,8
28/11/2019	90,6
29/11/2019	90,6
30/11/2019	92,2
01/12/2019	91,6
02/12/2019	90,6
03/12/2019	90
04/12/2019	89,4
05/12/2019	90,6
08/12/2019	91
09/12/2019	91,8
11/12/2019	90,6
12/12/2019	90,8
12/12/2019	90,8
15/12/2019	90
16/12/2019	90,4
17/12/2019	90,2
18/12/2019	91,4
19/12/2019	90,8
23/12/2019	91
27/12/2019	90,4
28/12/2019	92,2
30/12/2019	90,6
03/01/2020	91,2
06/01/2020	92,2
08/01/2020	91
09/01/2020	92,2
10/01/2020	91
11/01/2020	91,1
13/01/2020	91,8
20/01/2020	91,8
21/01/2020	91,4
22/01/2020	90,4
23/01/2020	90,8
24/01/2020	90,8
27/01/2020	90,8
28/01/2020	91,6
29/01/2020	91,6
30/01/2020	91,6
03/02/2020	92
04/02/2020	90,8
05/02/2020	91,6
07/02/2020	91,8
10/02/2020	92,4
11/02/2020	90,2
12/02/2020	91,4
13/02/2020	91,2
14/02/2020	91,2
16/02/2020	92,4
17/02/2020	92,4
20/02/2020	92,8
21/02/2020	92,6
24/02/2020	91,4
25/02/2020	90,8
26/02/2020	91,8
27/02/2020	92
28/02/2020	91,2
02/03/2020	92,6
03/03/2020	91,6
04/03/2020	91,8
05/03/2020	91,4
06/03/2020	92,4
07/03/2020	92,4
08/03/2020	92,6
09/03/2020	93
10/03/2020	92,2
11/03/2020	92,8
12/03/2020	92,2
13/03/2020	91,8
14/03/2020	91,4
15/03/2020	91,4
16/03/2020	93,2
17/03/2020	92
18/03/2020	92,8
19/03/2020	92,2
20/03/2020	90,8
21/03/2020	91
22/03/2020	91,4
23/03/2020	91
24/03/2020	89,8
25/03/2020	91,2
26/03/2020	90,2
27/03/2020	90,8
28/03/2020	91
29/03/2020	91,4
30/03/2020	91,4
31/03/2020	91
01/04/2020	91
02/04/2020	91,2
03/04/2020	91,4
04/04/2020	92
05/04/2020	92
06/04/2020	93,2
07/04/2020	90,6
08/04/2020	90,6
09/04/2020	91,9
10/04/2020	91,3
11/04/2020	91,15
12/04/2020	92,85
13/04/2020	92,4
14/04/2020	89,65
15/04/2020	89,1
16/04/2020	89,05
17/04/2020	89
18/04/2020	90,1
19/04/2020	91,8
20/04/2020	91,4
21/04/2020	89,15
22/04/2020	88,85
23/04/2020	88,95
24/04/2020	89,7
25/04/2020	90,25
26/04/2020	91,7
27/04/2020	91,25
28/04/2020	88,65
29/04/2020	88,2
30/04/2020	87,7
01/05/2020	88,55
02/05/2020	89,95
03/05/2020	90,2
04/05/2020	90,45
05/05/2020	89,25
06/05/2020	89,25
07/05/2020	88,3
08/05/2020	90
09/05/2020	90,45
10/05/2020	88,9
11/05/2020	90,8
12/05/2020	87,9
13/05/2020	89,2
14/05/2020	88,9
15/05/2020	89,75
16/05/2020	89,95
17/05/2020	89,9
18/05/2020	90,3
19/05/2020	87,45
20/05/2020	87,05
21/05/2020	87,55
22/05/2020	88,9
23/05/2020	89,8
24/05/2020	90,35
25/05/2020	90,7
26/05/2020	88,4
27/05/2020	88,2
28/05/2020	88,75
29/05/2020	90,05
30/05/2020	90,8
31/05/2020	91,2
01/06/2020	92,35
02/06/2020	89,7
03/06/2020	90,65
04/06/2020	90,75
05/06/2020	90,8
06/06/2020	90,3
07/06/2020	91,05
08/06/2020	92,2
09/06/2020	90,2
10/06/2020	90,65
11/06/2020	90,45
12/06/2020	89,85
13/06/2020	90,25
14/06/2020	91,4
15/06/2020	91,25
16/06/2020	89,65
17/06/2020	90,3
18/06/2020	89,9
19/06/2020	89,7
20/06/2020	90,7
21/06/2020	91,17
22/06/2020	91,2
23/06/2020	89,65
24/06/2020	89,5
25/06/2020	91
26/06/2020	91,15
27/06/2020	91,15
28/06/2020	91,75
29/06/2020	91,45
30/06/2020	91,5
01/07/2020	91,3
02/07/2020	91,65
03/07/2020	91,05
04/07/2020	91,2
05/07/2020	92
06/07/2020	92,35
07/07/2020	91,55
08/07/2020	91,37
09/07/2020	91,65
10/07/2020	91,6
13/07/2020	92,25
14/07/2020	90,4
15/07/2020	92
16/07/2020	91,15
17/07/2020	92,05
18/07/2020	92,4
19/07/2020	93,65
20/07/2020	94,1
21/07/2020	91,3
22/07/2020	91,5
23/07/2020	92,5
24/07/2020	91,25
27/07/2020	93,35
28/07/2020	92,15
29/07/2020	92,55
30/07/2020	92,8
31/07/2020	93,65
01/08/2020	92,7
02/08/2020	92,4
03/08/2020	93,05
04/08/2020	91,55
05/08/2020	92,75
06/08/2020	93,4
07/08/2020	93,4
08/08/2020	93,8
09/08/2020	93,25
20/08/2020	93,5
21/08/2020	93,05
22/08/2020	92,35
23/08/2020	92,95
31/08/2020	95,45
01/09/2020	93,35
02/09/2020	94,55
03/09/2020	95,45
04/09/2020	96,2
05/09/2020	95,65
06/09/2020	93,1
07/09/2020	93,2
08/09/2020	93,1
09/09/2020	94
10/09/2020	92,85
11/09/2020	93,45
13/09/2020	95,4
14/09/2020	95,5
15/09/2020	92,95
16/09/2020	92,95
17/09/2020	93,15
18/09/2020	92,75
21/09/2020	92,5
22/09/2020	91,45
23/09/2020	92,45
24/09/2020	92,2
25/09/2020	93,15
26/09/2020	92,5
27/09/2020	93,3
28/09/2020	92,65
29/09/2020	91,95
30/09/2020	92,35
01/10/2020	91,95
02/10/2020	91,8
03/10/2020	92,35
04/10/2020	94,25
05/10/2020	92,6
06/10/2020	93,9
07/10/2020	92
08/10/2020	92,2
09/10/2020	90,2
10/10/2020	92,05
11/10/2020	92,8
12/10/2020	93,75
13/10/2020	93,3
14/10/2020	93,05
15/10/2020	93,3
16/10/2020	92,7
17/10/2020	93,3
18/10/2020	94,35
19/10/2020	93,95
20/10/2020	91,6
21/10/2020	92,55
22/10/2020	91,15
23/10/2020	92,4
24/10/2020	92,15
25/10/2020	92,2
